,name,business_status,rating,price_level,types,vicinity,Latitude,Longitude
0,Waffle House,OPERATIONAL,4.2,1.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","1783 Airport Rd, Allentown",40.6364993,-75.4352466
1,Hachi,OPERATIONAL,4.7,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","4275 County Line Rd #9, Chalfont",40.2664601,-75.2243623
2,La Cocina Mexicana,OPERATIONAL,4.4,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","107 W Main St, Kutztown",40.5189609,-75.7765163
3,Great Wall,OPERATIONAL,4.1,1.0,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']","807 N Easton Rd #107, Doylestown",40.3337693,-75.1286138
4,Buona Cucina Italiano,OPERATIONAL,4.6,2.0,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","1519 Irene St, Bethlehem",40.64004120000001,-75.3468082
5,Wendy's,OPERATIONAL,3.5,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","308 Broadway, Bethlehem",40.6099948,-75.38277529999999
6,Pizza Pub,OPERATIONAL,4.1,1.0,"['meal_delivery', 'meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","1115 Bethlehem Pike, Sellersville",40.3777191,-75.3142161
7,Delicioso Pizza & Subs,OPERATIONAL,4.6,1.0,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']","1032 Hamilton St, Allentown",40.599963,-75.479129
8,Green Chili indian Restaurant,OPERATIONAL,4.7,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","641 S West End Blvd, Quakertown",40.4271,-75.34836670000001
9,Cracker Barrel Old Country Store,OPERATIONAL,4.3,2.0,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']","14 Frontage Rd, Clinton",40.6288002,-74.9187307
10,Your Kitchen,OPERATIONAL,4.1,,"['restaurant', 'food', 'point_of_interest', 'establishment']","459 NJ-31 k, Hampton",40.7205911,-74.97368209999999
11,California Tortilla,OPERATIONAL,4.4,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","1836 E Ridge Pike Ste 100, Royersford",40.213036,-75.49785
12,Sonic Drive-In,OPERATIONAL,3.5,1.0,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']","1753 Airport Rd, Allentown",40.6359803,-75.43649839999999
13,California Tortilla,CLOSED_TEMPORARILY,4.1,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","274 S Main St, Doylestown",40.304203,-75.12903
14,QDOBA Mexican Eats,OPERATIONAL,4.2,1.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","2669A MacArthur Rd, Whitehall",40.6455534,-75.4924867
15,Aladdin,OPERATIONAL,4.5,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","651 Union Blvd, Allentown",40.6242191,-75.44910829999999
16,"the Metropolitan, American Diner & Bar",OPERATIONAL,4.4,2.0,"['restaurant', 'night_club', 'bar', 'food', 'point_of_interest', 'establishment']","750 Upper State Rd, North Wales",40.2387369,-75.23537209999999
17,Perkins Restaurant & Bakery,OPERATIONAL,4.2,2.0,"['restaurant', 'bakery', 'food', 'point_of_interest', 'store', 'establishment']","3400 Lehigh St, Allentown",40.5527009,-75.4918738
18,The Clean Plate Kitchen,OPERATIONAL,4.6,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","49 Main St, Clinton",40.6360462,-74.91163329999999
19,Perkins Restaurant & Bakery,OPERATIONAL,4.3,2.0,"['restaurant', 'bakery', 'food', 'point_of_interest', 'store', 'establishment']","3940 Nazareth Pike, Bethlehem",40.6774729,-75.3422964
20,Waffle House,OPERATIONAL,4.2,1.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","1783 Airport Rd, Allentown",40.6364993,-75.4352466
21,Hachi,OPERATIONAL,4.7,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","4275 County Line Rd #9, Chalfont",40.2664601,-75.2243623
22,La Cocina Mexicana,OPERATIONAL,4.4,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","107 W Main St, Kutztown",40.5189609,-75.7765163
23,Great Wall,OPERATIONAL,4.1,1.0,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']","807 N Easton Rd #107, Doylestown",40.3337693,-75.1286138
24,Buona Cucina Italiano,OPERATIONAL,4.6,2.0,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","1519 Irene St, Bethlehem",40.64004120000001,-75.3468082
25,Wendy's,OPERATIONAL,3.5,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","308 Broadway, Bethlehem",40.6099948,-75.38277529999999
26,Pizza Pub,OPERATIONAL,4.1,1.0,"['meal_delivery', 'meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","1115 Bethlehem Pike, Sellersville",40.3777191,-75.3142161
27,Delicioso Pizza & Subs,OPERATIONAL,4.6,1.0,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']","1032 Hamilton St, Allentown",40.599963,-75.479129
28,Green Chili indian Restaurant,OPERATIONAL,4.7,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","641 S West End Blvd, Quakertown",40.4271,-75.34836670000001
29,Cracker Barrel Old Country Store,OPERATIONAL,4.3,2.0,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']","14 Frontage Rd, Clinton",40.6288002,-74.9187307
30,Your Kitchen,OPERATIONAL,4.1,,"['restaurant', 'food', 'point_of_interest', 'establishment']","459 NJ-31 k, Hampton",40.7205911,-74.97368209999999
31,California Tortilla,OPERATIONAL,4.4,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","1836 E Ridge Pike Ste 100, Royersford",40.213036,-75.49785
32,Sonic Drive-In,OPERATIONAL,3.5,1.0,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']","1753 Airport Rd, Allentown",40.6359803,-75.43649839999999
33,California Tortilla,CLOSED_TEMPORARILY,4.1,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","274 S Main St, Doylestown",40.304203,-75.12903
34,QDOBA Mexican Eats,OPERATIONAL,4.2,1.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","2669A MacArthur Rd, Whitehall",40.6455534,-75.4924867
35,Aladdin,OPERATIONAL,4.5,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","651 Union Blvd, Allentown",40.6242191,-75.44910829999999
36,"the Metropolitan, American Diner & Bar",OPERATIONAL,4.4,2.0,"['restaurant', 'night_club', 'bar', 'food', 'point_of_interest', 'establishment']","750 Upper State Rd, North Wales",40.2387369,-75.23537209999999
37,Perkins Restaurant & Bakery,OPERATIONAL,4.2,2.0,"['restaurant', 'bakery', 'food', 'point_of_interest', 'store', 'establishment']","3400 Lehigh St, Allentown",40.5527009,-75.4918738
38,The Clean Plate Kitchen,OPERATIONAL,4.6,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","49 Main St, Clinton",40.6360462,-74.91163329999999
39,Perkins Restaurant & Bakery,OPERATIONAL,4.3,2.0,"['restaurant', 'bakery', 'food', 'point_of_interest', 'store', 'establishment']","3940 Nazareth Pike, Bethlehem",40.6774729,-75.3422964
40,Waffle House,OPERATIONAL,4.2,1.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","1783 Airport Rd, Allentown",40.6364993,-75.4352466
41,Hachi,OPERATIONAL,4.7,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","4275 County Line Rd #9, Chalfont",40.2664601,-75.2243623
42,La Cocina Mexicana,OPERATIONAL,4.4,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","107 W Main St, Kutztown",40.5189609,-75.7765163
43,Great Wall,OPERATIONAL,4.1,1.0,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']","807 N Easton Rd #107, Doylestown",40.3337693,-75.1286138
44,Buona Cucina Italiano,OPERATIONAL,4.6,2.0,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","1519 Irene St, Bethlehem",40.64004120000001,-75.3468082
45,Wendy's,OPERATIONAL,3.5,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","308 Broadway, Bethlehem",40.6099948,-75.38277529999999
46,Pizza Pub,OPERATIONAL,4.1,1.0,"['meal_delivery', 'meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","1115 Bethlehem Pike, Sellersville",40.3777191,-75.3142161
47,Delicioso Pizza & Subs,OPERATIONAL,4.6,1.0,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']","1032 Hamilton St, Allentown",40.599963,-75.479129
48,Green Chili indian Restaurant,OPERATIONAL,4.7,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","641 S West End Blvd, Quakertown",40.4271,-75.34836670000001
49,Cracker Barrel Old Country Store,OPERATIONAL,4.3,2.0,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']","14 Frontage Rd, Clinton",40.6288002,-74.9187307
50,Your Kitchen,OPERATIONAL,4.1,,"['restaurant', 'food', 'point_of_interest', 'establishment']","459 NJ-31 k, Hampton",40.7205911,-74.97368209999999
51,California Tortilla,OPERATIONAL,4.4,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","1836 E Ridge Pike Ste 100, Royersford",40.213036,-75.49785
52,Sonic Drive-In,OPERATIONAL,3.5,1.0,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']","1753 Airport Rd, Allentown",40.6359803,-75.43649839999999
53,California Tortilla,CLOSED_TEMPORARILY,4.1,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","274 S Main St, Doylestown",40.304203,-75.12903
54,QDOBA Mexican Eats,OPERATIONAL,4.2,1.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","2669A MacArthur Rd, Whitehall",40.6455534,-75.4924867
55,Aladdin,OPERATIONAL,4.5,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","651 Union Blvd, Allentown",40.6242191,-75.44910829999999
56,"the Metropolitan, American Diner & Bar",OPERATIONAL,4.4,2.0,"['restaurant', 'night_club', 'bar', 'food', 'point_of_interest', 'establishment']","750 Upper State Rd, North Wales",40.2387369,-75.23537209999999
57,Perkins Restaurant & Bakery,OPERATIONAL,4.2,2.0,"['restaurant', 'bakery', 'food', 'point_of_interest', 'store', 'establishment']","3400 Lehigh St, Allentown",40.5527009,-75.4918738
58,The Clean Plate Kitchen,OPERATIONAL,4.6,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","49 Main St, Clinton",40.6360462,-74.91163329999999
59,Perkins Restaurant & Bakery,OPERATIONAL,4.3,2.0,"['restaurant', 'bakery', 'food', 'point_of_interest', 'store', 'establishment']","3940 Nazareth Pike, Bethlehem",40.6774729,-75.3422964
60,Waffle House,OPERATIONAL,4.2,1.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","1783 Airport Rd, Allentown",40.6364993,-75.4352466
61,Hachi,OPERATIONAL,4.7,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","4275 County Line Rd #9, Chalfont",40.2664601,-75.2243623
62,La Cocina Mexicana,OPERATIONAL,4.4,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","107 W Main St, Kutztown",40.5189609,-75.7765163
63,Great Wall,OPERATIONAL,4.1,1.0,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']","807 N Easton Rd #107, Doylestown",40.3337693,-75.1286138
64,Buona Cucina Italiano,OPERATIONAL,4.6,2.0,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","1519 Irene St, Bethlehem",40.64004120000001,-75.3468082
65,Wendy's,OPERATIONAL,3.5,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","308 Broadway, Bethlehem",40.6099948,-75.38277529999999
66,Pizza Pub,OPERATIONAL,4.1,1.0,"['meal_delivery', 'meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","1115 Bethlehem Pike, Sellersville",40.3777191,-75.3142161
67,Delicioso Pizza & Subs,OPERATIONAL,4.6,1.0,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']","1032 Hamilton St, Allentown",40.599963,-75.479129
68,Green Chili indian Restaurant,OPERATIONAL,4.7,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","641 S West End Blvd, Quakertown",40.4271,-75.34836670000001
69,Cracker Barrel Old Country Store,OPERATIONAL,4.3,2.0,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']","14 Frontage Rd, Clinton",40.6288002,-74.9187307
70,Your Kitchen,OPERATIONAL,4.1,,"['restaurant', 'food', 'point_of_interest', 'establishment']","459 NJ-31 k, Hampton",40.7205911,-74.97368209999999
71,California Tortilla,OPERATIONAL,4.4,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","1836 E Ridge Pike Ste 100, Royersford",40.213036,-75.49785
72,Sonic Drive-In,OPERATIONAL,3.5,1.0,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']","1753 Airport Rd, Allentown",40.6359803,-75.43649839999999
73,California Tortilla,CLOSED_TEMPORARILY,4.1,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","274 S Main St, Doylestown",40.304203,-75.12903
74,QDOBA Mexican Eats,OPERATIONAL,4.2,1.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","2669A MacArthur Rd, Whitehall",40.6455534,-75.4924867
75,Aladdin,OPERATIONAL,4.5,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","651 Union Blvd, Allentown",40.6242191,-75.44910829999999
76,"the Metropolitan, American Diner & Bar",OPERATIONAL,4.4,2.0,"['restaurant', 'night_club', 'bar', 'food', 'point_of_interest', 'establishment']","750 Upper State Rd, North Wales",40.2387369,-75.23537209999999
77,Perkins Restaurant & Bakery,OPERATIONAL,4.2,2.0,"['restaurant', 'bakery', 'food', 'point_of_interest', 'store', 'establishment']","3400 Lehigh St, Allentown",40.5527009,-75.4918738
78,The Clean Plate Kitchen,OPERATIONAL,4.6,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","49 Main St, Clinton",40.6360462,-74.91163329999999
79,Perkins Restaurant & Bakery,OPERATIONAL,4.3,2.0,"['restaurant', 'bakery', 'food', 'point_of_interest', 'store', 'establishment']","3940 Nazareth Pike, Bethlehem",40.6774729,-75.3422964
80,Waffle House,OPERATIONAL,4.2,1.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","1783 Airport Rd, Allentown",40.6364993,-75.4352466
81,Hachi,OPERATIONAL,4.7,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","4275 County Line Rd #9, Chalfont",40.2664601,-75.2243623
82,La Cocina Mexicana,OPERATIONAL,4.4,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","107 W Main St, Kutztown",40.5189609,-75.7765163
83,Great Wall,OPERATIONAL,4.1,1.0,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']","807 N Easton Rd #107, Doylestown",40.3337693,-75.1286138
84,Buona Cucina Italiano,OPERATIONAL,4.6,2.0,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","1519 Irene St, Bethlehem",40.64004120000001,-75.3468082
85,Wendy's,OPERATIONAL,3.5,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","308 Broadway, Bethlehem",40.6099948,-75.38277529999999
86,Pizza Pub,OPERATIONAL,4.1,1.0,"['meal_delivery', 'meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","1115 Bethlehem Pike, Sellersville",40.3777191,-75.3142161
87,Delicioso Pizza & Subs,OPERATIONAL,4.6,1.0,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']","1032 Hamilton St, Allentown",40.599963,-75.479129
88,Green Chili indian Restaurant,OPERATIONAL,4.7,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","641 S West End Blvd, Quakertown",40.4271,-75.34836670000001
89,Cracker Barrel Old Country Store,OPERATIONAL,4.3,2.0,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']","14 Frontage Rd, Clinton",40.6288002,-74.9187307
90,Your Kitchen,OPERATIONAL,4.1,,"['restaurant', 'food', 'point_of_interest', 'establishment']","459 NJ-31 k, Hampton",40.7205911,-74.97368209999999
91,California Tortilla,OPERATIONAL,4.4,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","1836 E Ridge Pike Ste 100, Royersford",40.213036,-75.49785
92,Sonic Drive-In,OPERATIONAL,3.5,1.0,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']","1753 Airport Rd, Allentown",40.6359803,-75.43649839999999
93,California Tortilla,CLOSED_TEMPORARILY,4.1,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","274 S Main St, Doylestown",40.304203,-75.12903
94,QDOBA Mexican Eats,OPERATIONAL,4.2,1.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","2669A MacArthur Rd, Whitehall",40.6455534,-75.4924867
95,Aladdin,OPERATIONAL,4.5,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","651 Union Blvd, Allentown",40.6242191,-75.44910829999999
96,"the Metropolitan, American Diner & Bar",OPERATIONAL,4.4,2.0,"['restaurant', 'night_club', 'bar', 'food', 'point_of_interest', 'establishment']","750 Upper State Rd, North Wales",40.2387369,-75.23537209999999
97,Perkins Restaurant & Bakery,OPERATIONAL,4.2,2.0,"['restaurant', 'bakery', 'food', 'point_of_interest', 'store', 'establishment']","3400 Lehigh St, Allentown",40.5527009,-75.4918738
98,The Clean Plate Kitchen,OPERATIONAL,4.6,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","49 Main St, Clinton",40.6360462,-74.91163329999999
99,Perkins Restaurant & Bakery,OPERATIONAL,4.3,2.0,"['restaurant', 'bakery', 'food', 'point_of_interest', 'store', 'establishment']","3940 Nazareth Pike, Bethlehem",40.6774729,-75.3422964
100,Waffle House,OPERATIONAL,4.2,1.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","1783 Airport Rd, Allentown",40.6364993,-75.4352466
101,Hachi,OPERATIONAL,4.7,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","4275 County Line Rd #9, Chalfont",40.2664601,-75.2243623
102,La Cocina Mexicana,OPERATIONAL,4.4,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","107 W Main St, Kutztown",40.5189609,-75.7765163
103,Great Wall,OPERATIONAL,4.1,1.0,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']","807 N Easton Rd #107, Doylestown",40.3337693,-75.1286138
104,Buona Cucina Italiano,OPERATIONAL,4.6,2.0,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","1519 Irene St, Bethlehem",40.64004120000001,-75.3468082
105,Wendy's,OPERATIONAL,3.5,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","308 Broadway, Bethlehem",40.6099948,-75.38277529999999
106,Pizza Pub,OPERATIONAL,4.1,1.0,"['meal_delivery', 'meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","1115 Bethlehem Pike, Sellersville",40.3777191,-75.3142161
107,Delicioso Pizza & Subs,OPERATIONAL,4.6,1.0,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']","1032 Hamilton St, Allentown",40.599963,-75.479129
108,Green Chili indian Restaurant,OPERATIONAL,4.7,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","641 S West End Blvd, Quakertown",40.4271,-75.34836670000001
109,Cracker Barrel Old Country Store,OPERATIONAL,4.3,2.0,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']","14 Frontage Rd, Clinton",40.6288002,-74.9187307
110,Your Kitchen,OPERATIONAL,4.1,,"['restaurant', 'food', 'point_of_interest', 'establishment']","459 NJ-31 k, Hampton",40.7205911,-74.97368209999999
111,California Tortilla,OPERATIONAL,4.4,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","1836 E Ridge Pike Ste 100, Royersford",40.213036,-75.49785
112,Sonic Drive-In,OPERATIONAL,3.5,1.0,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']","1753 Airport Rd, Allentown",40.6359803,-75.43649839999999
113,California Tortilla,CLOSED_TEMPORARILY,4.1,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","274 S Main St, Doylestown",40.304203,-75.12903
114,QDOBA Mexican Eats,OPERATIONAL,4.2,1.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","2669A MacArthur Rd, Whitehall",40.6455534,-75.4924867
